EmployeeID,Department,Age,EducationLevel,JobRole,YearsAtCompany,MonthlyHoursWorked,Overtime,Salary,JobSatisfaction,PerformanceScore,Absenteeism,PromotionsLast5Years,LastEvaluationScore
1,Product,24,Bachelor's,Analyst,12,143,No,Low,4,5,13,1,0.96
2,Sales,50,PhD,Developer,7,256,Yes,Low,1,5,12,2,0.73
3,Marketing,36,PhD,Sales Associate,9,173,Yes,High,2,10,8,2,0.91
4,Marketing,59,Master's,Developer,5,200,No,Medium,5,6,7,1,0.56
5,Marketing,49,PhD,Analyst,13,133,Yes,Low,5,3,1,0,0.64
6,HR,58,Master's,Analyst,4,256,No,Low,1,8,11,0,0.87
7,Marketing,53,Bachelor's,Team Lead,6,254,Yes,High,3,7,13,0,0.81
8,Engineering,51,PhD,Team Lead,13,160,No,Low,4,2,6,2,0.72
9,Product,51,Bachelor's,Developer,19,214,Yes,Low,5,8,6,2,0.83
10,Sales,55,Master's,Team Lead,1,165,Yes,Low,1,10,12,2,0.89
11,Sales,34,Master's,Team Lead,2,200,Yes,Medium,4,3,2,1,0.95
12,Product,54,Bachelor's,Developer,14,178,No,Medium,5,1,2,1,0.72
13,Engineering,38,PhD,Team Lead,17,245,No,Medium,1,10,1,1,0.82
14,HR,24,Bachelor's,Developer,12,138,No,Low,4,7,3,2,0.69
15,Sales,30,Master's,Manager,15,245,No,High,3,8,13,1,0.96
16,HR,32,Master's,Developer,14,208,Yes,High,1,4,9,1,0.74
17,HR,48,PhD,Team Lead,9,184,No,Low,1,4,14,2,0.71
18,Sales,49,Master's,Sales Associate,4,251,No,High,1,7,5,2,0.97
19,HR,23,PhD,Sales Associate,10,217,No,High,5,2,11,2,0.5
20,Product,22,PhD,Developer,18,144,No,High,3,2,14,0,0.67
21,Marketing,27,PhD,Sales Associate,6,160,Yes,Medium,3,6,5,1,0.92
22,Sales,46,Master's,Sales Associate,12,257,Yes,High,1,2,2,1,0.73
23,Marketing,56,Bachelor's,Team Lead,14,192,No,Medium,1,2,1,2,0.67
24,Sales,37,Bachelor's,Manager,10,161,No,Low,3,4,6,2,0.79
25,Engineering,25,Master's,Manager,14,139,No,Low,4,7,2,0,0.7
26,Marketing,59,Bachelor's,Team Lead,14,187,Yes,High,1,6,11,1,0.66
27,Sales,41,Bachelor's,Manager,17,247,Yes,Medium,3,3,9,2,0.63
28,HR,46,Master's,Developer,18,239,No,Medium,5,2,5,0,0.66
29,Marketing,28,Bachelor's,Manager,14,186,No,Low,3,4,1,1,0.96
30,Marketing,42,Master's,Sales Associate,8,144,No,Medium,4,3,12,2,0.98
31,Marketing,28,PhD,Team Lead,18,204,No,Low,1,2,4,1,0.55
32,Sales,50,PhD,Analyst,5,242,No,High,3,10,3,0,0.87
33,HR,28,Bachelor's,Sales Associate,12,152,Yes,Medium,2,10,3,1,0.83
34,HR,24,Master's,Sales Associate,16,154,No,Low,1,10,1,0,0.82
35,HR,50,PhD,Developer,9,162,No,Medium,1,1,5,2,0.52
36,Sales,50,Master's,Analyst,7,212,No,Low,2,10,4,0,0.64
37,Engineering,59,Master's,Developer,8,157,Yes,High,1,10,3,2,0.87
38,Product,27,Master's,Team Lead,12,202,Yes,Medium,5,1,9,0,0.75
39,Marketing,31,Bachelor's,Analyst,6,175,No,Medium,5,6,13,1,0.51
40,Marketing,58,PhD,Team Lead,18,226,Yes,Medium,4,5,3,2,0.76
41,Engineering,35,Bachelor's,Manager,10,155,No,Medium,4,4,7,0,0.92
